,Ticker,Name,FTSE Industry Classification Benchmark sector[13]
0,III.L,3i,Financial Services
1,ABDN.L,Abrdn,Financial Services
2,ADM.L,Admiral Group,Nonlife Insurance
3,AAL.L,Anglo American plc,Mining
4,ANTO.L,Antofagasta,Mining
5,AHT.L,Ashtead Group,Support Services
6,ABF.L,Associated British Foods,Food Producers
7,AZN.L,AstraZeneca,Pharmaceuticals & Biotechnology
8,AUTO.L,Auto Trader Group,Media
9,AVST.L,Avast,Software & Computer Services
10,AVV.L,Aveva,Software & Computer Services
11,AV.L,Aviva,Life Insurance
12,BME.L,B&M,Retailers
13,BA.L,BAE Systems,Aerospace & Defence
14,BARC.L,Barclays,Banks
15,BDEV.L,Barratt Developments,Household Goods & Home Construction
16,BKG.L,Berkeley Group Holdings,Household Goods & Home Construction
17,BHP.L,BHP,Mining
18,BP.L,BP,Oil & Gas Producers
19,BATS.L,British American Tobacco,Tobacco
20,BLND.L,British Land,Real Estate Investment Trusts
21,BT.L,BT Group,Fixed Line Telecommunications
22,BNZL.L,Bunzl,Support Services
23,BRBY.L,Burberry,Personal Goods
24,CCH.L,Coca-Cola HBC,Beverages
25,CPG.L,Compass Group,Support Services
26,CRH.L,CRH plc,Construction & Materials
27,CRDA.L,Croda International,Chemicals
28,DCC.L,DCC plc,Support Services
29,DPH.L,Dechra Pharmaceuticals,Health Care
30,DGE.L,Diageo,Beverages
31,ECM.L,Electrocomponents,Industrials
32,ENT.L,Entain,Travel & Leisure
33,EVR.L,Evraz,Industrial Metals & Mining
34,EXPN.L,Experian,Support Services
35,FERG.L,Ferguson plc,Support Services
36,FLTR.L,Flutter Entertainment,Travel & Leisure
37,FRES.L,Fresnillo,Mining
38,GSK.L,GlaxoSmithKline,Pharmaceuticals & Biotechnology
39,GLEN.L,Glencore,Mining
40,HLMA.L,Halma,Electronic & Electrical Equipment
41,HL.L,Hargreaves Lansdown,Financial Services
42,HIK.L,Hikma Pharmaceuticals,Pharmaceuticals & Biotechnology
43,HSBA.L,HSBC,Banks
44,IHG.L,IHG Hotels & Resorts,Travel & Leisure
45,IMB.L,Imperial Brands,Tobacco
46,INF.L,Informa,Media
47,ICP.L,Intermediate Capital Group,Investment Services
48,IAG.L,International Airlines Group,Travel & Leisure
49,ITRK.L,Intertek,Support Services
50,ITV.L,ITV plc,Media
51,JD.L,JD Sports,General Retailers
52,KGF.L,Kingfisher,Retailers
53,LAND.L,Land Securities,Real Estate Investment Trusts
54,LGEN.L,Legal & General,Life Insurance
55,LLOY.L,Lloyds Banking Group,Banks
56,LSEG.L,London Stock Exchange Group,Financial Services
57,MNG.L,M&G,Asset Managers
58,MGGT.L,Meggitt,Aerospace & Defence
59,MRO.L,Melrose Industries,Automobiles & Parts
60,MNDI.L,Mondi,Forestry & Paper
61,NG.L,National Grid plc,"Gas, Water & Multi-utilities"
62,NWG.L,NatWest Group,Banks
63,NXT.L,Next plc,General Retailers
64,OCDO.L,Ocado Group,Food & Drug Retailers
65,PSON.L,Pearson plc,Media
66,PSH.L,Pershing Square Holdings,Financial Services
67,PSN.L,Persimmon plc,Household Goods & Home Construction
68,PHNX.L,Phoenix Group,Life Insurance
69,POLY.L,Polymetal International,Precious Metals & Mining
70,PRU.L,Prudential plc,Life Insurance
71,RKT.L,Reckitt,Household Goods & Home Construction
72,REL.L,RELX,Media
73,RTO.L,Rentokil Initial,Support Services
74,RMV.L,Rightmove,Media
75,RIO.L,Rio Tinto,Mining
76,RR.L,Rolls-Royce Holdings,Aerospace & Defence
77,RDSA.L,Royal Dutch Shell,Oil & Gas Producers
78,RMG.L,Royal Mail,Industrial Transportation
79,SGE.L,Sage Group,Software & Computer Services
80,SBRY.L,Sainsbury's,Food & Drug Retailers
81,SDR.L,Schroders,Financial Services
82,SMT.L,Scottish Mortgage Investment Trust,Equity Investment Instruments
83,SGRO.L,Segro,Real Estate Investment Trusts
84,SVT.L,Severn Trent,"Gas, Water & Multi-utilities"
85,SMDS.L,DS Smith,General Industrials
86,SMIN.L,Smiths Group,General Industrials
87,SN.L,Smith & Nephew,Health Care Equipment & Services
88,SKG.L,Smurfit Kappa,General Industrials
89,SPX.L,Spirax-Sarco Engineering,Industrial Engineering
90,SSE.L,SSE plc,Electricity
91,STAN.L,Standard Chartered,Banks
92,STJ.L,St. James's Place plc,Financial Services
93,TW.L,Taylor Wimpey,Household Goods & Home Construction
94,TSCO.L,Tesco,Food & Drug Retailers
95,ULVR.L,Unilever,Personal Goods
96,UU.L,United Utilities,"Gas, Water & Multi-utilities"
97,VOD.L,Vodafone Group,Mobile Telecommunications
98,WTB.L,Whitbread,Retail hospitality
99,WPP.L,WPP plc,Media
